Cohort_id	Trait_onto_ID	Cancer_type	Cancer_subtype	Cancer_DOID	Case_name	Case_age_group	Case_sex	Case_size	Control_name	Control_age_group	Control_sex	Control_size	Condition	Conclusion	Platform	Tissue	Type	pubmed_id
METAC_1	104	breast cancer	early stage breast cancer	1612	Keto diet group		F	29	Standard diet (SD) group		F	30	Blood parameters at baseline in the ketogenic diet (KD) and standard diet (SD) group.	consuming a KD during radiotherapy is safe for women with breast cancer and has the potential to improve quality of life and metabolic health	515/514 medical Body Composition Analyzer	Blood	case vs.control group	33551218
METAC_2	104	breast cancer	early stage breast cancer	1612	Keto diet group		F	29	Standard diet (SD) group		F	30	Blood parameters at end of the study in the ketogenic diet (KD) and standard diet (SD) group.	consuming a KD during radiotherapy is safe for women with breast cancer and has the potential to improve quality of life and metabolic health	515/514 medical Body Composition Analyzer	Blood	case vs.control group	33551218
METAC_6	103	breast cancer	breast cancer with invasive ductal carcinoma (IDC)	1612	Invasive ductal carcinoma (IDC)	47.71±9.12	F	25	Healthy control		F	19	Breast cancer patients with invasive ductal carcinoma (IDC)	Five types of fatty acids may be potential tumor markers in IDC(invasive ductal carcinoma)	GC-MS	Serum	case vs.control group	33240433
METAC_7	76	breast cancer	breast cancer with invasive ductal carcinoma (IDC)	1612	High FASN expression		F	12	No/low FASN expression		F	13	FASN expression of breast cancer patients with invasive ductal carcinoma (IDC)	FASN expression affected the serum fatty acid profiles of patients with IDC(invasive ductal carcinoma). FASN-mediated changes in specific fatty acids promoted tumor cell migration	GC-MS	Serum	case vs.control group	33240433
METAC_8	93	breast cancer	Estrogen receptor (ER)-positive breast cancers	1612	HER2 positive breast cancer		F	10	HER2 negative breast cancer		F	52	Relative metabolite quantification levels between HER2-positive and negative	HER2-positive group was shown to have higher levels of glycine and glutamate, compared to the HER2-negative group	HR-MAS MRS	Breast tissue	case vs.control group	28969000
METAC_9	105	breast cancer	Estrogen receptor (ER)-positive breast cancers	1612	Ki-67 highbreast cancer		F	23	Ki-67 low breast cancer		F	39	Relative metabolite quantification levels between Ki-67 high and low	high Ki-67 group showed higher levels of glutamate than the low Ki-67 group without statistical significance.	HR-MAS MRS	Breast tissue	case vs.control group	28969000
METAC_10	112	breast cancer	Estrogen receptor (ER)-positive breast cancers	1612	Luminal B breast cancer		F	26	Luminal A breast cancer		F	36	Relative metabolite quantification levels between Luminal B and Luminal A	Luminal B cancers showed higher levels of glycine (P=0.01) than luminal A cancers	HR-MAS MRS	Breast tissue	case vs.control group	28969000
METAC_11	128	breast cancer	early breast cancer patients (EBC)	1612	Pre-menopause	42.5 ± 5.5	F	173	Post-menopause	54.3 ± 6.8	F	28	Metabolic characteristics stratified by menopausal status	At diagnosis, compared with post?menopausal women, pre-menopausal patients were more likely to have lower glucose, HbA1c, and triglyceride levels and a lower HOMA score.	Laboratory assays	Blood	case vs.control group	26424165
METAC_12	27	breast cancer	nan	1612	breast cancer patients	63 (27-92)	F	78	controls	39 (21-65)	F	30	metabolites differentiating breast cancer patients from the controls	Eight metabolites showed a significant discriminatory power between breast cancer and controls. High concentrations of lysoPCaC26:0 and PCaaC38:5 were associated with shorter overall survival.	LC-MS;UPLC-MSMS	Blood-Derived Microvesicles	case vs.control group	34948336
METAC_14	93	breast cancer	Her2-enriched,Luminal B	1612	Her2-enriched breast cancer		F	4	Luminal B breast cancer		F	34	metabolites between Her2-enriched and Luminal B	nan	LC-MS;UPLC-MSMS	Blood-Derived Microvesicles	case vs.control group	34948336
METAC_16	107	breast cancer	Luminal A,Luminal B	1612	Luminal A breast cancer		F	31	Luminal B breast cancer		F	34	metabolites between Luminal A and Luminal B	24 metabolites were differentially expressed between luminal A and luminal B	LC-MS;UPLC-MSMS	Blood-Derived Microvesicles	case vs.control group	34948336
METAC_17	107	breast cancer	Luminal A	1612	Luminal A breast cancer		F	31	control	39 (21-65)	F	30	metabolites between Luminal A and control	metabolites was identified that distinguished between breast cancer and controls as well as between molecular subtypes	LC-MS;UPLC-MSMS	Blood-Derived Microvesicles	case vs.control group	34948336
METAC_18	108	breast cancer	Luminal B	1612	Luminal B breast cancer		F	34	control	39 (21-65)	F	30	metabolites between Luminal B and control	metabolites was identified that distinguished between breast cancer and controls as well as between molecular subtypes	LC-MS;UPLC-MSMS	Blood-Derived Microvesicles	case vs.control group	34948336
METAC_19	93	breast cancer	Her2-enriched	1612	Her2-enriched breast cancer		F	4	control	39 (21-65)	F	30	metabolites between Her2-enriched and control	metabolites was identified that distinguished between breast cancer and controls as well as between molecular subtypes	LC-MS;UPLC-MSMS	Blood-Derived Microvesicles	case vs.control group	34948336
METAC_20	128	breast cancer	Luminal A, Luminal B, HER2-enriched, TNBC	1612	Invasive breast cancer		F	39	Breast fibroadenoma		F	24	Estrogen metabolism in premenopausal patients	lower urinary levels of 4-OHE2 and 4-MeOE1 had predictive value for breast cancer	HPLC-MS/MS	Urine	case vs.control group	34812737
METAC_21	128	breast cancer	Luminal A, Luminal B, HER2-enriched, TNBC	1612	Invasive breast cancer		F	45	Breast fibroadenoma		F	23	Estrogen metabolism in postmenopausal patients	lower urinary levels of 4-OHE2 and 4-MeOE1 had predictive value for breast cancer	HPLC-MS/MS	Urine	case vs.control group	34812737
METAC_22	98	breast cancer	Luminal A, Luminal B, HER2-enriched, TNBC	1612	HR+ breast cancer		F		HR- breast cancer		F		hormone receptor status and estrogen metabolism in premenopausal breast cancer patients	higher 2-OHE1 were associated with HR+ breast cancer in premenopausal women	HPLC-MS/MS	Urine	case vs.control group	34812737
METAC_23	98	breast cancer	Luminal A, Luminal B, HER2-enriched, TNBC	1612	HR+ breast cancer		F		HR- breast cancer		F		hormone receptor status and estrogen metabolism in postmenopausal breast cancer patients	nan	HPLC-MS/MS	Urine	case vs.control group	34812737
METAC_24	40	breast cancer	Triple-negative breast cancer (TNBC)	1612	pathological partial response (pPR)	49.2 (32-63)	F	28	pathological stable disease (pSD)	47.8 (29-65)	F	16	Metabolite between patients with pathological partial response and pathological stable disease (pPR and pSD)	Three significantly disturbed metabolic pathways of glycine, serine, and threonine metabolism, valine, leucine, and isoleucine biosynthesis, and alanine, aspartate, and glutamate metabolism could be used as potential predictive models to distinguish three types of TNBC patients. These results indicate that a metabolic phenotype could be used to predict whether a patient is suitable for NAC.	NMR	Serum	case vs.control group	34796199
METAC_25	40	breast cancer	Triple-negative breast cancer (TNBC)	1612	pathological partial response (pPR)	49.2 (32-63)	F	28	pathological complete response (pCR)	46.7 (33-62 )	F	8	Metabolite between patients with pathological partial response and  pathological complete response (pPR and pCR)	Three significantly disturbed metabolic pathways of glycine, serine, and threonine metabolism, valine, leucine, and isoleucine biosynthesis, and alanine, aspartate, and glutamate metabolism could be used as potential predictive models to distinguish three types of TNBC patients. These results indicate that a metabolic phenotype could be used to predict whether a patient is suitable for NAC.	NMR	Serum	case vs.control group	34796199
METAC_26	40	breast cancer	Triple-negative breast cancer (TNBC)	1612	pathological complete response (pCR)	46.7 (33-62 )	F	8	pathological stable disease (pSD)	47.8 (29-65)	F	16	Metabolite between patients with pathological complete response and pathological stable disease (pCR and pSD)	Three significantly disturbed metabolic pathways of glycine, serine, and threonine metabolism, valine, leucine, and isoleucine biosynthesis, and alanine, aspartate, and glutamate metabolism could be used as potential predictive models to distinguish three types of TNBC patients. These results indicate that a metabolic phenotype could be used to predict whether a patient is suitable for NAC.	NMR	Serum	case vs.control group	34796199
METAC_27	196	breast cancer	breast cancer-related lymphedema (BCRL)	1612	selenium-treated(SE) group	48.87 ± 11.25	F	15	placebo-controlled(CTRL)	51.29 ± 14.48 	F	14	metabolites significantly altered in selenium-treated (SE) group than placebo-controlled (CTRL)	selenium IV injection improved the arm ECW/SW ratio and altered the serum metabolic profiles in patients with BCRL, and improved the anti-inflammatory process in lipid, nucleotide and vitamin pathways, which might alleviate the symptoms of BCRL..	LC-MS/MS	Serum	case vs.control group	34579131
METAC_28	27	breast cancer	nan	1612	Breast Cancer	44 (37-50)	F	171	Control 	43 (38-54)	F	69	Characteristics Between breast cancer and controls	nan	¹H NMR	Plasma	case vs.control group	34503091
METAC_29	27	breast cancer	nan	1612	Breast cancer (BC) 	43 ± 8 	F	20	benign breast diseases (BBD).	46 ± 13 	F	13	Comparisons for concentrations of individual bile acids and semi-quantified levels of identified serum bile acids in benign breast diseases (BBD) and breast cancer (BC) groups	The serum BAs profile in BC group was quite different from that in BBD group. Compared with the BBD group, BC group had higher level of chenodeoxycholic acid (CDCA)	UPLC-QTOF-MS	Blood	case vs.control group	34481814
METAC_30	27	breast cancer	nan	1612	Breast Cancer	46±10	F	8	Healthy young females (HY females with normal BMIs)	21 ± 2 	F	10	Metabolic characteristics between Breast cancer and Healthy young females (HY females with normal BMIs)	nan	Biochemical analyses	Blood	case vs.control group	24011971
METAC_31	139	breast cancer	non-malignant females	1612	HM females(non-malignant females of similar age and BMI) 	47 ± 10	F	8	Healthy young females (HY females with normal BMIs)	21 ± 2 	F	10	Metabolic characteristics between HM females(non-malignant females of similar age and BMI) and Healthy young females (HY females with normal BMIs)	nan	Biochemical analyses	Blood	case vs.control group	24011971
METAC_32	140	breast cancer	nan	1612	Non-metastatic breast cancer		F	129	Control		F	32	Serological markers in healthy control and non-metastatic breast cancer	nan	ELISA	Blood	case vs.control group	23275142
METAC_33	132	breast cancer	nan	1612	Metastatic breast cancer		F	88	Non-metastatic breast cancer		F	129	Serological markers in non-metastatic, and metastatic breast cancer	nan	ELISA	Blood	case vs.control group	23275142
METAC_34	25	breast cancer	nan	1612	BRCA1+ breast cancer		F	11	BRCA1- breast cancer		F	11	Metabolic Status of Breast Cancer Patients between BRCA1 positive and negative	BRCA1 gene mutations in breast cancer patients were associated with signs of estrogenization and a pro-genotoxic shift in the estrogen and glucose system, which could modulate the disease course and requires correction	nan	Blood	case vs.control group	22803146
METAC_35	72	breast cancer	ER positive and negative	1612	ER- breast cancer		F	34	ER+ breast cancer		F	125	Positive ion mode (ESI+) results for all investigated lipids in ER- vs. ER+	nan	UPLC-MS	Breast tissue	case vs.control group	21415164
METAC_36	29	breast cancer	nan	1612	Grade 3 breast cancer		F	63	Grade 1&2 breast cancer		F	106	Positive ion mode (ESI+) results for all investigated lipids in Grade 3 vs 1&2	nan	UPLC-MS	Breast tissue	case vs.control group	21415164
